توضیح ستون,نام ستون
شناسه بازی,matchId
شناسه بازیکن شوت‌زننده,playerId
"موقعیت بازی که در آن ضربه زده شد (جریان‌ بازی، پنالتی، ضربه‌ آزاد ‌مستقیم، مستقیم ‌از ‌کرنر)",playType
"بخشی از بدن که با آن شوت زده شده‌است (پای چپ، پای راست، سَر، سایر)",bodyPart
موقعیت شوت در زمین به متر (مختصات x),x
موقعیت شوت در زمین به متر (مختصات y),y
تعداد بازیکنان حریف که در لحظه شوت‌زدن مانع دید شوت‌زننده به دروازه شده بودند,interveningOpponents
تعداد هم‌تیمی‌هایی که در لحظه شوت زدن مانع دید شوت‌زننده به دروازه شده بودند,interveningTeammates
"میزان دخالت مستقیم تیم مدافع بر روی شوت‌زننده (کم - هیچ بازیکن تیم حریف در یک متری شوت‌زننده نیست، متوسط - یک بازیکن حریف در ۱متری شوت‌زننده قرار دارد، زیاد - بیشتر از یک بازیکن حریف در ۱متری شوت‌زننده قرار دارند)",interferenceOnShooter
دقیقه زدن شوت,minute
ثانیه زدن شوت,second
"نتیجه شوت (برخورد به دفاع، موقعیت از دست رفته، برخورد به تیردروازه، مهار توسط دروازه‌بان، گُل، گُل به‌خودی)",outcome
